Toll Date,Day of Week,Toll Week,Time Period,Vehicle Class,CRZ Entries,Estimated Rate,Estimated Revenue
2025-01-10,Friday,2025-01-05,Overnight,Passenger Cars & Vans,46702,2.25,84063.6
2025-01-10,Friday,2025-01-05,Overnight,Single-Unit Trucks,2531,3.6,7289.28
2025-01-10,Friday,2025-01-05,Overnight,Multi-Unit Trucks,581,5.4,2509.92
2025-01-10,Friday,2025-01-05,Overnight,Buses,733,3.69,2163.82
2025-01-10,Friday,2025-01-05,Overnight,Motorcycles,255,1.05,214.2
2025-01-10,Friday,2025-01-05,Overnight,TLC Taxi/FHV,45771,1.13,41376.98
2025-01-10,Friday,2025-01-05,Peak,Passenger Cars & Vans,234184,9.0,1686124.8
2025-01-10,Friday,2025-01-05,Peak,Single-Unit Trucks,21334,14.4,245767.67
2025-01-10,Friday,2025-01-05,Peak,Multi-Unit Trucks,1988,21.6,34352.64
2025-01-10,Friday,2025-01-05,Peak,Buses,9087,14.76,107299.3
2025-01-10,Friday,2025-01-05,Peak,Motorcycles,1523,4.5,5482.8
2025-01-10,Friday,2025-01-05,Peak,TLC Taxi/FHV,128010,1.13,115721.04
2025-01-11,Saturday,2025-01-05,Overnight,Passenger Cars & Vans,88547,2.25,159384.6
2025-01-11,Saturday,2025-01-05,Overnight,Single-Unit Trucks,4328,3.6,12464.64
2025-01-11,Saturday,2025-01-05,Overnight,Multi-Unit Trucks,625,5.4,2700.0
2025-01-11,Saturday,2025-01-05,Overnight,Buses,1380,3.69,4073.76
2025-01-11,Saturday,2025-01-05,Overnight,Motorcycles,388,1.05,325.92
2025-01-11,Saturday,2025-01-05,Overnight,TLC Taxi/FHV,75961,1.13,68668.74
2025-01-11,Saturday,2025-01-05,Peak,Passenger Cars & Vans,171647,9.0,1235858.4
2025-01-11,Saturday,2025-01-05,Peak,Single-Unit Trucks,4995,14.4,57542.4
2025-01-11,Saturday,2025-01-05,Peak,Multi-Unit Trucks,453,21.6,7827.84
2025-01-11,Saturday,2025-01-05,Peak,Buses,2928,14.76,34573.82
2025-01-11,Saturday,2025-01-05,Peak,Motorcycles,1226,4.5,4413.6
2025-01-11,Saturday,2025-01-05,Peak,TLC Taxi/FHV,107980,1.13,97613.92
