Date,Mode,Count
03/19/2025,CBD Entries,578116
03/19/2025,Bus,1558820
03/19/2025,BT,934820
03/18/2025,CRZ Entries,501246
03/18/2025,Subway,4232297
03/18/2025,SIR,7913
03/18/2025,MNR,230580
03/18/2025,LIRR,264924
03/18/2025,CBD Entries,566107
03/18/2025,Bus,1544388
03/18/2025,BT,917496
03/18/2025,AAR,42071
03/17/2025,AAR,37228
03/17/2025,Subway,3751313
03/17/2025,SIR,7185
03/17/2025,MNR,210355
03/17/2025,LIRR,246824
03/17/2025,CRZ Entries,466599
03/17/2025,CBD Entries,531883
03/17/2025,Bus,1386978
03/17/2025,BT,876311
03/16/2025,BT,836312
03/16/2025,Subway,2111229
03/16/2025,SIR,2114
03/16/2025,MNR,88439
03/16/2025,LIRR,113968
03/16/2025,CRZ Entries,443708
03/16/2025,CBD Entries,499795
03/16/2025,Bus,682090
03/16/2025,AAR,24499
03/15/2025,BT,910876
03/15/2025,Subway,2686698
03/15/2025,SIR,2900
03/15/2025,MNR,119626
03/15/2025,LIRR,142839
03/15/2025,CRZ Entries,506080
03/15/2025,CBD Entries,571594
03/15/2025,Bus,957923
03/15/2025,AAR,25703
03/14/2025,BT,980639
03/14/2025,Subway,3926685
03/14/2025,SIR,6547
03/14/2025,MNR,213317
03/14/2025,LIRR,258621
03/14/2025,CRZ Entries,527594
03/14/2025,CBD Entries,599283
03/14/2025,Bus,1461424
03/14/2025,AAR,40590
03/13/2025,AAR,41922
03/13/2025,Subway,4265918
03/13/2025,SIR,7723
03/13/2025,MNR,224898
03/13/2025,LIRR,262786
03/13/2025,CRZ Entries,527931
03/13/2025,CBD Entries,598373
03/13/2025,Bus,1545407
03/13/2025,BT,957266
03/12/2025,AAR,43034
03/12/2025,Subway,4273439
03/12/2025,SIR,7992
03/12/2025,MNR,226656
03/12/2025,LIRR,259006
03/12/2025,CRZ Entries,516064
03/12/2025,CBD Entries,583345
03/12/2025,Bus,1558707
03/12/2025,BT,925536
03/11/2025,BT,912306
03/11/2025,Subway,4220071
03/11/2025,SIR,8162
03/11/2025,MNR,228328
03/11/2025,LIRR,261433
03/11/2025,CRZ Entries,504241
03/11/2025,CBD Entries,568126
03/11/2025,Bus,1547477
03/11/2025,AAR,42531
03/10/2025,AAR,38272
03/10/2025,Subway,3849712
03/10/2025,SIR,7331
03/10/2025,MNR,209606
03/10/2025,LIRR,249300
03/10/2025,CRZ Entries,480825
03/10/2025,CBD Entries,546742
03/10/2025,Bus,1480720
03/10/2025,BT,903040
03/09/2025,AAR,25436
03/09/2025,Subway,1991779
03/09/2025,SIR,1898
03/09/2025,MNR,86431
03/09/2025,LIRR,104989
03/09/2025,CRZ Entries,442086
03/09/2025,CBD Entries,506183
03/09/2025,Bus,717213
03/09/2025,BT,811106
03/08/2025,BT,885162
03/08/2025,Subway,2662053
03/08/2025,SIR,2614
03/08/2025,MNR,110319
03/08/2025,LIRR,124078
03/08/2025,CRZ Entries,493184
03/08/2025,CBD Entries,557259
03/08/2025,Bus,946022
03/08/2025,AAR,25318
03/07/2025,AAR,40968
03/07/2025,Subway,3877969
03/07/2025,SIR,6389
03/07/2025,MNR,203928
03/07/2025,LIRR,243527
03/07/2025,CRZ Entries,524039
03/07/2025,CBD Entries,591386
03/07/2025,Bus,1436637
03/07/2025,BT,967906
03/06/2025,AAR,41928
03/06/2025,Subway,4177390
03/06/2025,SIR,7537
03/06/2025,MNR,214413
03/06/2025,LIRR,248999
03/06/2025,CRZ Entries,521498
03/06/2025,CBD Entries,592371
03/06/2025,Bus,1506745
03/06/2025,BT,945996
03/05/2025,BT,886954
03/05/2025,Subway,4139402
03/05/2025,SIR,7738
03/05/2025,MNR,211791
03/05/2025,LIRR,246143
03/05/2025,CRZ Entries,500671
03/05/2025,CBD Entries,564715
03/05/2025,Bus,1464569
03/05/2025,AAR,41857
03/04/2025,AAR,42252
03/04/2025,Subway,4178706
03/04/2025,SIR,7997
03/04/2025,MNR,222055
03/04/2025,LIRR,257066
03/04/2025,CRZ Entries,496330
03/04/2025,CBD Entries,563919
03/04/2025,Bus,1530724
03/04/2025,BT,890765
03/03/2025,AAR,38493
03/03/2025,Subway,3783633
03/03/2025,SIR,7226
03/03/2025,MNR,190695
03/03/2025,LIRR,227656
03/03/2025,CRZ Entries,473438
03/03/2025,CBD Entries,539994
03/03/2025,Bus,1446066
03/03/2025,BT,875586
03/02/2025,BT,794951
03/02/2025,Subway,1943509
03/02/2025,SIR,1887
03/02/2025,MNR,75153
03/02/2025,LIRR,90230
03/02/2025,CRZ Entries,440292
03/02/2025,CBD Entries,505581
03/02/2025,Bus,685236
03/02/2025,AAR,24730
03/01/2025,LIRR,124608
03/01/2025,Subway,2655494
03/01/2025,SIR,2847
03/01/2025,MNR,104535
03/01/2025,CRZ Entries,492982
03/01/2025,CBD Entries,557758
03/01/2025,Bus,947470
03/01/2025,BT,887553
03/01/2025,AAR,25348
02/28/2025,AAR,40313
02/28/2025,Subway,3867670
02/28/2025,SIR,6564
02/28/2025,MNR,202576
02/28/2025,LIRR,241045
02/28/2025,CRZ Entries,518965
02/28/2025,CBD Entries,589459
02/28/2025,Bus,1444353
02/28/2025,BT,977455
02/27/2025,BT,938129
02/27/2025,Subway,4123434
02/27/2025,SIR,7617
02/27/2025,MNR,213554
02/27/2025,LIRR,249988
02/27/2025,CRZ Entries,522101
02/27/2025,CBD Entries,592039
02/27/2025,Bus,1491904
02/27/2025,AAR,40994
02/26/2025,AAR,42667
02/26/2025,Subway,4202962
02/26/2025,SIR,8103
02/26/2025,MNR,217753
02/26/2025,LIRR,254446
02/26/2025,CRZ Entries,510701
02/26/2025,CBD Entries,579085
02/26/2025,Bus,1532417
02/26/2025,BT,922774
02/25/2025,AAR,41177
02/25/2025,Subway,4094456
02/25/2025,SIR,7891
02/25/2025,MNR,220142
02/25/2025,LIRR,258241
02/25/2025,CRZ Entries,491507
02/25/2025,CBD Entries,559102
02/25/2025,Bus,1517387
02/25/2025,BT,893250
02/24/2025,CBD Entries,536892
02/24/2025,Subway,3722403
02/24/2025,SIR,6915
02/24/2025,MNR,201187
02/24/2025,BT,868383
02/24/2025,LIRR,234816
02/24/2025,AAR,37883
02/24/2025,CRZ Entries,471248
02/24/2025,Bus,1454401
02/23/2025,CRZ Entries,446109
02/23/2025,Subway,1905750
02/23/2025,SIR,1885
02/23/2025,MNR,85701
02/23/2025,LIRR,105060
02/23/2025,CBD Entries,510664
02/23/2025,Bus,698394
02/23/2025,BT,807463
02/23/2025,AAR,24345
02/22/2025,AAR,24126
02/22/2025,Subway,2492096
02/22/2025,SIR,2428
02/22/2025,MNR,101509
02/22/2025,LIRR,116852
02/22/2025,CRZ Entries,490344
02/22/2025,CBD Entries,553409
02/22/2025,Bus,871144
02/22/2025,BT,852956
02/21/2025,BT,913799
02/21/2025,Subway,3481093
02/21/2025,SIR,5592
02/21/2025,MNR,191570
02/21/2025,LIRR,228844
02/21/2025,CRZ Entries,511688
02/21/2025,CBD Entries,579230
02/21/2025,Bus,1231306
02/21/2025,AAR,37660
02/20/2025,BT,883004
02/20/2025,Subway,3822211
02/20/2025,SIR,6768
02/20/2025,MNR,203840
02/20/2025,LIRR,241345
02/20/2025,CRZ Entries,510899
02/20/2025,CBD Entries,573498
02/20/2025,Bus,1300291
02/20/2025,AAR,37671
02/19/2025,BT,884841
02/19/2025,Subway,3830039
02/19/2025,SIR,6951
02/19/2025,MNR,207633
02/19/2025,LIRR,243335
02/19/2025,CRZ Entries,499335
02/19/2025,CBD Entries,562803
02/19/2025,Bus,1318256
02/19/2025,AAR,40363
02/18/2025,AAR,38691
02/18/2025,Subway,3698061
02/18/2025,SIR,6826
02/18/2025,MNR,210850
02/18/2025,LIRR,243993
02/18/2025,CRZ Entries,492523
02/18/2025,CBD Entries,558799
02/18/2025,Bus,1279762
02/18/2025,BT,879681
02/17/2025,AAR,21581
02/17/2025,Subway,2458343
02/17/2025,SIR,3045
02/17/2025,MNR,84372
02/17/2025,LIRR,101826
02/17/2025,CRZ Entries,419710
02/17/2025,CBD Entries,483425
02/17/2025,Bus,911285
02/17/2025,BT,784901
02/16/2025,BT,667445
02/16/2025,Subway,1809213
02/16/2025,SIR,1674
02/16/2025,MNR,71059
02/16/2025,LIRR,93199
02/16/2025,CRZ Entries,407680
02/16/2025,CBD Entries,462290
02/16/2025,Bus,588331
02/16/2025,AAR,20949
02/15/2025,AAR,21226
02/15/2025,Subway,2355977
02/15/2025,SIR,2390
02/15/2025,MNR,91906
02/15/2025,LIRR,105976
02/15/2025,CRZ Entries,457306
02/15/2025,CBD Entries,514879
02/15/2025,Bus,748078
02/15/2025,BT,757860
02/14/2025,AAR,40125
02/14/2025,Subway,3855445
02/14/2025,SIR,6065
02/14/2025,MNR,198806
02/14/2025,LIRR,233715
02/14/2025,CRZ Entries,540748
02/14/2025,CBD Entries,607663
02/14/2025,Bus,1392764
02/14/2025,BT,981144
02/13/2025,BT,911367
02/13/2025,Subway,4098104
02/13/2025,SIR,7310
02/13/2025,MNR,205656
02/13/2025,LIRR,243915
02/13/2025,CRZ Entries,519048
02/13/2025,CBD Entries,586886
02/13/2025,Bus,1467576
02/13/2025,AAR,39932
02/12/2025,AAR,38659
02/12/2025,Subway,3940993
02/12/2025,SIR,6682
02/12/2025,MNR,205325
02/12/2025,LIRR,235576
02/12/2025,CRZ Entries,490501
02/12/2025,CBD Entries,554232
02/12/2025,Bus,1400354
02/12/2025,BT,827168
02/11/2025,AAR,40378
02/11/2025,Subway,4111749
02/11/2025,SIR,7709
02/11/2025,MNR,215260
02/11/2025,LIRR,247848
02/11/2025,CRZ Entries,487805
02/11/2025,CBD Entries,551827
02/11/2025,Bus,1492601
02/11/2025,BT,861559
02/10/2025,BT,871018
02/10/2025,Subway,3746029
02/10/2025,SIR,6972
02/10/2025,MNR,198962
02/10/2025,LIRR,234725
02/10/2025,CRZ Entries,476292
02/10/2025,CBD Entries,541440
02/10/2025,Bus,1429999
02/10/2025,AAR,37718
02/09/2025,AAR,20935
02/09/2025,Subway,1850257
02/09/2025,SIR,1839
02/09/2025,MNR,69578
02/09/2025,LIRR,83513
02/09/2025,CRZ Entries,375840
02/09/2025,CBD Entries,428342
02/09/2025,Bus,571270
02/09/2025,BT,609854
02/08/2025,AAR,23849
02/08/2025,Subway,2538395
02/08/2025,SIR,2681
02/08/2025,MNR,96754
02/08/2025,LIRR,113264
02/08/2025,CRZ Entries,452727
02/08/2025,CBD Entries,510894
02/08/2025,Bus,817924
02/08/2025,BT,780456
02/07/2025,BT,937779
02/07/2025,Subway,3861700
02/07/2025,SIR,6441
02/07/2025,MNR,197152
02/07/2025,LIRR,236121
02/07/2025,CRZ Entries,521523
02/07/2025,CBD Entries,589162
02/07/2025,Bus,1443307
02/07/2025,AAR,39874
02/06/2025,LIRR,229479
02/06/2025,Subway,3885191
02/06/2025,SIR,6686
02/06/2025,MNR,182951
02/06/2025,CRZ Entries,487479
02/06/2025,CBD Entries,547466
02/06/2025,Bus,1369499
02/06/2025,BT,798034
02/06/2025,AAR,37073
02/05/2025,AAR,41896
02/05/2025,Subway,4182058
02/05/2025,SIR,8108
02/05/2025,MNR,213793
02/05/2025,LIRR,248050
02/05/2025,CRZ Entries,511805
02/05/2025,CBD Entries,578336
02/05/2025,Bus,1520952
02/05/2025,BT,887810
02/04/2025,BT,857377
02/04/2025,Subway,4150390
02/04/2025,SIR,8018
02/04/2025,MNR,219042
02/04/2025,LIRR,259976
02/04/2025,CRZ Entries,495552
02/04/2025,CBD Entries,556794
02/04/2025,Bus,1495880
02/04/2025,AAR,40893
02/03/2025,AAR,38076
02/03/2025,Subway,3695940
02/03/2025,SIR,7289
02/03/2025,MNR,183417
02/03/2025,LIRR,223504
02/03/2025,CRZ Entries,466588
02/03/2025,CBD Entries,532078
02/03/2025,Bus,1432408
02/03/2025,BT,839848
02/02/2025,AAR,24063
02/02/2025,Subway,1848424
02/02/2025,SIR,1875
02/02/2025,MNR,72681
02/02/2025,LIRR,132846
02/02/2025,CRZ Entries,434872
02/02/2025,CBD Entries,496315
02/02/2025,Bus,678873
02/02/2025,BT,749519
02/01/2025,Bus,895648
02/01/2025,Subway,2483263
02/01/2025,SIR,2563
02/01/2025,MNR,94588
02/01/2025,AAR,47702
02/01/2025,LIRR,114523
02/01/2025,CRZ Entries,479838
02/01/2025,CBD Entries,539890
02/01/2025,BT,815389
01/31/2025,LIRR,225159
01/31/2025,Subway,3624121
01/31/2025,SIR,6031
01/31/2025,MNR,190971
01/31/2025,CRZ Entries,505219
01/31/2025,CBD Entries,571413
01/31/2025,Bus,1358908
01/31/2025,BT,899967
01/31/2025,AAR,75450
01/30/2025,AAR,39342
01/30/2025,Subway,4088389
01/30/2025,SIR,7370
01/30/2025,MNR,210602
01/30/2025,LIRR,243926
01/30/2025,CRZ Entries,522688
01/30/2025,CBD Entries,589371
01/30/2025,Bus,1470801
01/30/2025,BT,909295
01/29/2025,BT,858172
01/29/2025,Subway,3735444
01/29/2025,SIR,6678
01/29/2025,MNR,213599
